ID,Name,ID Country,ID Level 1 Sub Division,,,,,,,,,,,,,,,,,,,,,
1.0,Montgomery,237.0,1.0,,,,,,,,,,,,,,,,,,,,,
2.0,Juneau,237.0,2.0,,,,,,,,,,,,,,,,,,,,,
3.0,Phoenix,237.0,3.0,,,,,,,,,,,,,,,,,,,,,
4.0,Little Rock,237.0,4.0,,,,,,,,,,,,,,,,,,,,,
5.0,Sacramento,237.0,5.0,,,,,,,,,,,,,,,,,,,,,
6.0,Denver,237.0,6.0,,,,,,,,,,,,,,,,,,,,,
7.0,Hartford,237.0,7.0,,,,,,,,,,,,,,,,,,,,,
8.0,Dover,237.0,8.0,,,,,,,,,,,,,,,,,,,,,
9.0,Tallahassee,237.0,9.0,,,,,,,,,,,,,,,,,,,,,
10.0,Atlanta,237.0,10.0,,,,,,,,,,,,,,,,,,,,,
11.0,Honolulu,237.0,11.0,,,,,,,,,,,,,,,,,,,,,
12.0,Boise,237.0,12.0,,,,,,,,,,,,,,,,,,,,,
13.0,Springfield,237.0,13.0,,,,,,,,,,,,,,,,,,,,,
14.0,Indianapolis,237.0,14.0,,,,,,,,,,,,,,,,,,,,,
15.0,Des Moines,237.0,15.0,,,,,,,,,,,,,,,,,,,,,
16.0,Topeka,237.0,16.0,,,,,,,,,,,,,,,,,,,,,
17.0,Frankfort,237.0,17.0,,,,,,,,,,,,,,,,,,,,,
18.0,Baton Rouge,237.0,18.0,,,,,,,,,,,,,,,,,,,,,
19.0,Augusta,237.0,19.0,,,,,,,,,,,,,,,,,,,,,
20.0,Annapolis,237.0,20.0,,,,,,,,,,,,,,,,,,,,,
21.0,Boston,237.0,21.0,,,,,,,,,,,,,,,,,,,,,
22.0,Lansing,237.0,22.0,,,,,,,,,,,,,,,,,,,,,
23.0,St. Paul,237.0,23.0,,,,,,,,,,,,,,,,,,,,,
24.0,Jackson,237.0,24.0,,,,,,,,,,,,,,,,,,,,,
25.0,Jefferson City,237.0,25.0,,,,,,,,,,,,,,,,,,,,,
26.0,Helena,237.0,26.0,,,,,,,,,,,,,,,,,,,,,
27.0,Lincoln,237.0,27.0,,,,,,,,,,,,,,,,,,,,,
28.0,Carson City,237.0,28.0,,,,,,,,,,,,,,,,,,,,,
29.0,Concord,237.0,29.0,,,,,,,,,,,,,,,,,,,,,
30.0,Trenton,237.0,30.0,,,,,,,,,,,,,,,,,,,,,
31.0,Santa Fe,237.0,31.0,,,,,,,,,,,,,,,,,,,,,
32.0,Albany,237.0,32.0,,,,,,,,,,,,,,,,,,,,,
