ID,ID Spintax Variable,Text,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,build,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.0,make,,,,,,,,,,,,,,,,,,,,,,,
3.0,1.0,create,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.0,design and build,,,,,,,,,,,,,,,,,,,,,,,
5.0,2.0,software,,,,,,,,,,,,,,,,,,,,,,,
6.0,2.0,business apps,,,,,,,,,,,,,,,,,,,,,,,
7.0,2.0,custom software,,,,,,,,,,,,,,,,,,,,,,,
8.0,3.0,companies like,,,,,,,,,,,,,,,,,,,,,,,
9.0,3.0,companies just like,,,,,,,,,,,,,,,,,,,,,,,
10.0,3.0,businesses like,,,,,,,,,,,,,,,,,,,,,,,
11.0,3.0,businesses just like,,,,,,,,,,,,,,,,,,,,,,,
12.0,3.0,companies similar to,,,,,,,,,,,,,,,,,,,,,,,
13.0,3.0,businesses similar to,,,,,,,,,,,,,,,,,,,,,,,
14.0,4.0,created an account for you,,,,,,,,,,,,,,,,,,,,,,,
15.0,4.0,set up an account for you,,,,,,,,,,,,,,,,,,,,,,,
16.0,4.0,made a demo account for you,,,,,,,,,,,,,,,,,,,,,,,
17.0,4.0,created a demo for you,,,,,,,,,,,,,,,,,,,,,,,
18.0,4.0,deployed a demo account for you,,,,,,,,,,,,,,,,,,,,,,,
19.0,4.0,put together a demo account for you,,,,,,,,,,,,,,,,,,,,,,,
20.0,5.0,in one of our recent client apps,,,,,,,,,,,,,,,,,,,,,,,
21.0,5.0,in an app we recently built,,,,,,,,,,,,,,,,,,,,,,,
22.0,5.0,in a product we recently launched for a client,,,,,,,,,,,,,,,,,,,,,,,
23.0,5.0,in a software we launched last month for a customer,,,,,,,,,,,,,,,,,,,,,,,
24.0,6.0,Can you check and reply,,,,,,,,,,,,,,,,,,,,,,,
25.0,6.0,Can you check and let me know,,,,,,,,,,,,,,,,,,,,,,,
26.0,6.0,Can you look at it and reply,,,,,,,,,,,,,,,,,,,,,,,
27.0,6.0,Can you look at it and tell me,,,,,,,,,,,,,,,,,,,,,,,
