ID,Name,Short Name,UTC Offset,,,,,,,,,,,,,,,,,,,,,,,
1.0,Australian Central Daylight Savings Time,ACDT, +10:30,,,,,,,,,,,,,,,,,,,,,,,
2.0,Australian Central Standard Time,ACST, +9:30,,,,,,,,,,,,,,,,,,,,,,,
3.0,Acre Time,ACT,- 5:00,,,,,,,,,,,,,,,,,,,,,,,
4.0,ASEAN Common Time,ACT," + 6:30 (Myanmar);
+ 7:00 (Cambodia, Laos, Thailand, Vietnam, and western Indonesia); 
+ 8:00 (Brunei, central Indonesia, Malaysia, Philippines, and Singapore);
+ 9:00 (eastern Indonesia) ",,,,,,,,,,,,,,,,,,,,,,,
5.0,Atlantic Daylight Time,ADT,- 3:00,,,,,,,,,,,,,,,,,,,,,,,
6.0,Australian Eastern Daylight Savings Time,AEDT, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
7.0,Australian Eastern Standard Time,AEST, + 10:00,,,,,,,,,,,,,,,,,,,,,,,
8.0,Afghanistan Time,AFT, + 4:30,,,,,,,,,,,,,,,,,,,,,,,
9.0,Alaska Daylight Time,AKDT,- 8:00,,,,,,,,,,,,,,,,,,,,,,,
10.0,Alaska Standard Time,AKST,- 9:00,,,,,,,,,,,,,,,,,,,,,,,
11.0,Amazon Summer Time (Brazil)[1],AMST,- 3:00,,,,,,,,,,,,,,,,,,,,,,,
12.0,Amazon Time (Brazil)[2],AMT,- 4:00,,,,,,,,,,,,,,,,,,,,,,,
13.0,Armenia Time,AMT, + 4:00,,,,,,,,,,,,,,,,,,,,,,,
14.0,Argentina Time,ART,- 3:00,,,,,,,,,,,,,,,,,,,,,,,
15.0,Arabia Standard Time,AST, + 3:00,,,,,,,,,,,,,,,,,,,,,,,
16.0,Atlantic Standard Time,AST,- 4:00,,,,,,,,,,,,,,,,,,,,,,,
17.0,Australian Western Standard Time,AWST, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
18.0,Azores Summer Time,AZOST,±00,,,,,,,,,,,,,,,,,,,,,,,
19.0,Azores Standard Time,AZOT,- 1:00,,,,,,,,,,,,,,,,,,,,,,,
20.0,Azerbaijan Time,AZT, + 4:00,,,,,,,,,,,,,,,,,,,,,,,
21.0,Brunei Time,BDT, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
22.0,British Indian Ocean Time,BIOT, + 6:00,,,,,,,,,,,,,,,,,,,,,,,
23.0,Baker Island Time,BIT,- 12:00,,,,,,,,,,,,,,,,,,,,,,,
24.0,Bolivia Time,BOT,- 4:00,,,,,,,,,,,,,,,,,,,,,,,
25.0,Brasilia Summer Time,BRST,- 2:00,,,,,,,,,,,,,,,,,,,,,,,
26.0,Brasilia Time,BRT,- 3:00,,,,,,,,,,,,,,,,,,,,,,,
27.0,Bangladesh Standard Time,BST, + 6:00,,,,,,,,,,,,,,,,,,,,,,,
28.0,Bougainville Standard Time[3],BST, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
29.0,British Summer Time (British Standard Time from Feb 1968 to Oct 1971),BST, + 1:00,,,,,,,,,,,,,,,,,,,,,,,
30.0,Bhutan Time,BTT, + 6:00,,,,,,,,,,,,,,,,,,,,,,,
31.0,Central Africa Time,CAT, + 2:00,,,,,,,,,,,,,,,,,,,,,,,
32.0,Cocos Islands Time,CCT, + 6:30,,,,,,,,,,,,,,,,,,,,,,,
33.0,Central Daylight Time (North America),CDT,- 5:00,,,,,,,,,,,,,,,,,,,,,,,
34.0,Cuba Daylight Time[4],CDT,- 4:00,,,,,,,,,,,,,,,,,,,,,,,
35.0,Central European Summer Time (Cf. HAEC),CEST, + 2:00,,,,,,,,,,,,,,,,,,,,,,,
36.0,Central European Time,CET, + 1:00,,,,,,,,,,,,,,,,,,,,,,,
37.0,Chatham Daylight Time,CHADT, + 13:45,,,,,,,,,,,,,,,,,,,,,,,
38.0,Chatham Standard Time,CHAST, + 12:45,,,,,,,,,,,,,,,,,,,,,,,
39.0,Choibalsan Standard Time,CHOT, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
40.0,Choibalsan Summer Time,CHOST, + 9:00,,,,,,,,,,,,,,,,,,,,,,,
41.0,Chamorro Standard Time,CHST, + 10:00,,,,,,,,,,,,,,,,,,,,,,,
42.0,Chuuk Time,CHUT, + 10:00,,,,,,,,,,,,,,,,,,,,,,,
43.0,Clipperton Island Standard Time,CIST,- 8:00,,,,,,,,,,,,,,,,,,,,,,,
44.0,Central Indonesia Time,CIT, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
45.0,Cook Island Time,CKT,- 10:00,,,,,,,,,,,,,,,,,,,,,,,
46.0,Chile Summer Time,CLST,- 3:00,,,,,,,,,,,,,,,,,,,,,,,
47.0,Chile Standard Time,CLT,- 4:00,,,,,,,,,,,,,,,,,,,,,,,
48.0,Colombia Summer Time,COST,- 4:00,,,,,,,,,,,,,,,,,,,,,,,
49.0,Colombia Time,COT,- 5:00,,,,,,,,,,,,,,,,,,,,,,,
50.0,Central Standard Time (North America),CST,- 6:00,,,,,,,,,,,,,,,,,,,,,,,
51.0,China Standard Time,CST, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
52.0,Central Standard Time (Australia),ACST, + 9:30,,,,,,,,,,,,,,,,,,,,,,,
53.0,Central Summer Time (Australia),ACDT, + 10:30,,,,,,,,,,,,,,,,,,,,,,,
54.0,Cuba Standard Time,CST,- 5:00,,,,,,,,,,,,,,,,,,,,,,,
55.0,China time,CT, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
56.0,Cape Verde Time,CVT,- 1:00,,,,,,,,,,,,,,,,,,,,,,,
57.0,Central Western Standard Time (Australia) unofficial,CWST, + 8:45,,,,,,,,,,,,,,,,,,,,,,,
58.0,Christmas Island Time,CXT, + 7:00,,,,,,,,,,,,,,,,,,,,,,,
